name,sowinstructions,spaceinstructions,harvestinstructions,compatibleplants,Detailed Ideal Growing Conditions,Weather Conditions,Sunshine,Weather,Soil Conditions
Amaranth,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 86째F. (Show 째C/cm),Space plants: 20 inches apart,Harvest in 7-8 weeks.,"Compatible with (can grow beside): Onions, corn, peppers, egg plant, tomatoes","Full sun, well-drained soil, warm weather (70-90캟). Prefers sandy or loamy soil with a pH of 6.5-7.5. Water regularly, but allow soil to dry out between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun to partial sun,Warm weather,sandy-soil
Angelica,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 18 inches apart,"Harvest in approximately 18 months. Angelica archangelica has slightly dull leaves, not shiny..","Compatible with (can grow beside): Any herbs that like damp, shady areas - mint, lemon balm","Partial sun to full shade, moist, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to stay moist. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, partial shade to full sun, well-drained soil",partial shade to full sun,cool weather,well-drained soil
Artichokes (Globe),Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59째F and 64째F. (Show 째C/cm),Space plants: 63 - 79 inches apart,Harvest in 42-57 weeks.,Compatible with (can grow beside): Needs a lot of space. Best in separate bed,"Full sun, well-drained soil. Prefers sandy or loamy soil with a pH of 6.5-7.5. Water regularly, especially during the first year after planting. Fertilize every 2-3 weeks with a balanced fertilizer.","Mild winters, warm summers, full sun, well-drained soil",full sun,mild winters,sandy-soil
Asparagus,Easy to grow. Plant as crowns. Best planted at soil temperatures between 61째F and 86째F. (Show 째C/cm),Space plants: 8 - 16 inches apart,Harvest in 2-3 years. Plant 'crowns' to harvest earlier .,"Compatible with (can grow beside): Parsley, Basil, Nasturtiums, Lettuce","Full sun, well-drained soil, sandy soil is ideal. Prefers a pH of 6.5-7.5. Water regularly, especially during the first year after planting. Fertilize every spring with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,sandy-soil
Asparagus Pea,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59째F and 68째F. (Show 째C/cm),Space plants: 8 - 10 inches apart,"Harvest in 8-11 weeks. Pick early, pick often.",Compatible with (can grow beside): Best grown in separate bed,"Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Basil,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64째F and 95째F. (Show 째C/cm)",Space plants: 8 - 10 inches apart,Harvest in 10-12 weeks. Pick before flowering.,Compatible with (can grow beside): Tomato,"Full sun, well-drained soil, warm weather (70-85캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Warm weather, full sun, well-drained soil",full sun,Warm weather,well-drained soil
Beetroot,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45째F and 77째F. (Show 째C/cm),Space plants: 8 - 12 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Onions, Silverbeet (Swiss Chard), Lettuce, Cabbage, Dwarf Beans, Dill, Peas. Strawberries","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Borage,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50째F and 77째F. (Show 째C/cm),Space plants: 8 inches apart,"Harvest in 8-10 weeks. Use leaves before flowers appear, otherwise they will be 'hairy'. .","Compatible with (can grow beside): Strawberry, tomatoes, zucchini/squash. Deters pests from many plants.","Full sun to partial shade, well-drained soil. Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun to partial shade, well-drained soil",full sun,cool weather,well-drained soil
Broad beans,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 43째F and 75째F. (Show 째C/cm),Space plants: 6 - 10 inches apart,Harvest in 12-22 weeks. Pick frequently to encourage more pods.,"Compatible with (can grow beside): Dill, Potatoes","Full sun, well-drained soil, cool weather (50-70캟). Prefers a pH of 6.5-7.5. Water regularly, but allow soil to dry out slightly between waterings. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
Broccoli,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45째F and 86째F. (Show 째C/cm)",Space plants: 14 - 20 inches apart,Harvest in 10-16 weeks. Cut flowerhead off with a knife..,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, oregano)","Full sun, well-drained soil, cool weather (60-75캟). Prefers a pH of 6.5-7.5. Water regularly, especially during head formation. Fertilize every 2-3 weeks with a balanced fertilizer.","Cool weather, full sun, well-drained soil",full sun,cool weather,well-drained soil
